,AAPL.O,ADBE.O,ADI.O,ADP.O,ADSK.O,AEP.O,ALGN.O,AMAT.O,AMD.O,AMGN.O,AMZN.O,ANSS.O,ASML.O,ATVI.O,AVGO.O,BIDU.O,BIIB.O,BKNG.O,CDNS.O,CDW.O,CERN.O,CHKP.O,CHTR.O,CMCSA.O,COST.O,CPRT.O,CRWD.O,CSCO.O,CSX.O,CTAS.O,CTSH.O,DLTR.O,DOCU.O,DXCM.O,EA.O,EBAY.O,EXC.O,FAST.O,FB.O,FISV.O,FOX.O,FOXA.O,GILD.O,GOOG.O,GOOGL.O,HON.O,IDXX.O,ILMN.O,INCY.O,INTC.O,INTU.O,ISRG.O,JD.O,KDP.O,KHC.O,KLAC.O,LRCX.O,LULU.O,MAR.O,MCHP.O,MDLZ.O,MELI.O,MNST.O,MRNA.O,MRVL.O,MSFT.O,MTCH.O,MU.O,NFLX.O,NTES.O,NVDA.O,NXPI.O,OKTA.O,ORLY.O,PAYX.O,PCAR.O,PDD.O,PEP.O,PTON.O,PYPL.O,QCOM.O,REGN.O,ROST.O,SBUX.O,SGEN.O,SIRI.O,SNPS.O,SPLK.O,SWKS.O,TCOM.O,TEAM.O,TMUS.O,TSLA.O,TXN.O,VRSK.O,VRSN.O,VRTX.O,WBA.O,WDAY.O,XEL.O,XLNX.O,ZM.O,
2019-07-24,208.67,310.27,124.64,167.21,173.51,89.61,275.16,52.14,34.11,175.77,2000.81,214.95,234.06,46.86,303.77,116.38,241.24,1919.25,75.79,113.6,72.21,113.25,409.67,44.87,280.83,79.37,87.46,57.23,69.22,261.91,65.76,106.24,54.35,152.96,89.78,41.03,45.48,31.93,204.66,94.17,36.89,36.6,66.64,1137.81,1139.73,173.96,285.4,304.01,79.15,52.92,281.36,543.04,32.2,27.76,32.07,142.65,216.98,192.21,139.79,99.84,54.42,660,64.74,14.47,27.17,140.72,,47.99,317.94,245.16,178.66,105.5,137.02,396.5,85.05,72.14,20.93,129.21,,121.3,75.87,313.63,105.95,90.65,73.57,6.1,137.62,139.96,86.35,40.28,135.35,80.61,264.88,129,150.77,216.84,173.34,55.2,214.59,60.46,132.14,95.94,
2019-07-25,207.02,308.73,122.18,167.06,169.92,89.08,200.9,50.82,33.67,174.11,1973.82,213.24,230.05,47.19,300.39,114.47,238.21,1926.13,76.04,114.21,72.92,113.68,405.5,44.61,279.8,79.14,92.28,56.62,69.5,260.76,65.78,106.55,52.47,151.49,89.16,40.81,46.13,31.44,200.71,96.36,37.43,37.17,66.32,1132.12,1135.94,173.77,283.56,298.6,78.8,52.16,281.6,531.69,31.83,28.01,31.55,139.7,210.75,191.21,140.72,98.05,54.41,652.5,64.16,13.51,27.21,140.19,,47.77,326.46,240.08,173.38,101.77,136.62,376,85.42,71.67,21.51,128.99,,115.12,75.35,303.42,105.52,90.98,73.36,6.14,137.5,138.74,85.66,40.33,134.51,79.91,228.82,127.35,150.22,215.85,169.56,54.76,215.01,60.19,127.59,97.11,
2019-07-26,207.74,311.27,121.8,169.27,167.99,88.95,198.84,50.74,34.02,175.34,1943.05,213.15,230.85,47.99,300.92,114.22,238.21,1966.85,75.91,114.44,73.11,112.49,398.79,44.63,281.37,79.43,92.88,56.53,68.96,261.69,66.4,106.1,54.68,153.77,89.51,41.23,45.82,31.63,199.75,102.3,37.49,37.21,66.92,1250.41,1245.22,173.61,283.94,300.9,80.15,51.59,283.77,527.63,31.55,28.1,31.85,139.45,210.75,190.61,140.27,98.11,54.81,654.71,65.2,14.12,27.33,141.34,,47.49,335.78,238.96,175.07,102.36,140.53,383.79,86.58,71.67,21.61,131.22,,115.49,75.22,309.18,106.83,99.11,74.46,6.22,137.09,140.73,85.98,39.19,146.04,84.25,228.04,128.16,152.51,216.58,166.83,55.05,215.89,60.51,120.77,102.2,
2019-07-29,209.68,307.22,121.21,167.91,162.77,89.74,196.05,50.67,33.48,176.08,1912.45,210.66,230.97,48.45,301.74,113.45,237.11,1919.55,76.35,112.91,73.67,111.88,393.65,44.23,280.13,78.3,87.23,56.93,69.62,260.69,66.04,103.84,53.9,153.54,88.87,41.57,46.05,31.32,195.94,104.64,37.69,37.51,67.87,1239.41,1241.84,174.53,284.91,304.41,80.26,52.51,281.35,529.61,31.39,28,31.76,139.51,210.82,192.09,141.23,98.38,54.86,653.39,65.39,13.69,27.28,141.03,,46.82,332.7,230.82,174.82,104.23,132.63,389.82,86.23,71.51,21.91,131.53,,111.45,74.97,306.04,106.51,98.02,75.95,6.16,136.21,138.22,86.8,39.33,139.05,82.38,235.77,129.97,152.57,215.54,166.23,55.12,212.5,60.98,120.55,96.47,
2019-07-30,208.78,303.64,120.96,165,160.29,88.72,203.25,50.73,33.87,176.45,1898.53,207.8,228.34,48.29,299.56,112.75,241.51,1916.59,75.54,113.58,73.59,111.43,394.56,44.08,279.5,77.82,94,56.47,70.21,262.85,65.33,101.49,54.15,156.39,88.57,41.38,46.05,31.61,197.04,103.91,37.85,37.82,67.09,1225.14,1228,173.91,286.05,299.96,85.43,51.7,279.62,531.64,30.42,28.2,31.84,140,211.32,191.77,140.81,96.99,54.81,633.78,65.51,13.4,26.87,140.35,,47.46,325.93,232.78,175.45,105.79,131.99,383.35,86.14,70.97,21.95,130.48,,112.04,74.81,311.13,106.34,96.65,75.52,6.18,135.37,137.49,87.75,39.21,137,81.3,242.26,128.54,152.04,213.93,169.54,55.4,205.97,60.59,119.51,95.49,
2019-07-31,213.04,298.86,117.46,166.52,156.17,87.81,209.08,49.37,30.45,186.58,1866.78,203.12,222.81,48.74,289.99,111.7,237.82,1886.61,73.91,118.16,71.65,111.95,385.38,43.17,275.63,77.53,89.07,55.4,70.4,260.44,65.14,101.75,51.72,156.87,92.5,41.19,45.06,30.8,194.23,105.43,37.2,37.32,65.52,1216.68,1218.2,172.46,282.05,299.38,84.92,50.55,277.31,519.51,29.91,28.14,32.01,136.32,208.61,191.09,139.06,94.42,53.49,621.42,64.47,13.1,26.26,136.27,,44.89,322.99,230.82,168.72,103.39,130.83,380.76,83.05,70.14,22.27,127.81,,110.4,73.16,304.76,106.03,94.69,75.71,6.26,132.76,135.31,85.28,38.98,140.12,79.73,241.61,125.01,151.72,211.09,166.62,54.49,199.98,59.61,114.21,95.51,
2019-08-01,208.43,298.44,114.46,164.3,153.47,88.81,202.35,48.47,29.86,186,1855.32,201.21,221.44,50.19,285.34,109.21,243.06,1879.86,73.04,118.52,71.93,110.79,384.38,42.88,274.57,76.74,91.53,55.39,67.78,259.03,66.41,97.69,49.93,148.32,94.6,41.1,44.4,29.63,192.73,104.66,36.84,36.89,65.47,1209.01,1211.78,169.55,268.3,301.66,84.85,49.5,277.96,523.95,28.61,28.15,32.53,136.77,205.76,185.45,136.87,91.6,53.63,626.45,63.46,13.01,25.65,138.06,,43.6,319.5,224.94,164.92,100,133.08,374.8,83.88,68.14,22.66,127.14,,110.8,71.2,309.43,103.57,95.38,75.36,6.27,132.52,135.06,82.77,37.29,143.92,79.31,233.85,123.45,152.92,212.8,179.29,54.07,203.86,60.76,113.46,95.1,
2019-08-02,204.02,293.71,112.68,164.27,147.76,88.7,199.38,47.55,29.44,187.22,1823.24,195.35,219.91,49.02,278.53,107.76,242.27,1846.08,71.27,116.34,70.97,111.74,384.66,42.65,272.5,76.14,88.01,53.25,67.12,258.41,63.49,96.87,48.8,144.21,92.89,40.58,44.75,29.62,189.02,104.32,36.56,36.63,64.95,1193.99,1196.32,168.01,268.71,297.38,83.47,48.68,274.64,513.6,28.01,28.1,32.21,133.24,204.09,178.93,135.98,88.06,53.76,614.71,62.39,12.73,25.03,136.9,,44.08,318.83,219.7,161.19,100.46,132.57,369.93,83.93,67.22,22.99,127.92,,107.09,71.15,305.24,103.49,95.51,75.13,6.34,129.35,126.47,79.33,36.44,141.2,77.73,234.34,121.82,153.23,209.47,178.39,53.68,195.83,59.82,110.18,93.66,
2019-08-05,193.34,280.36,107.63,159.75,143.57,88.02,188.37,45.46,27.99,181.5,1765.13,190.15,212.13,46.1,267.66,100.15,235.21,1788.6,67.5,107.53,69.67,108.09,379.74,41.61,265.1,73.4,85.48,51.37,65.11,251.12,62.04,92.86,44.7,142.13,88.59,38.81,44.42,28.56,181.73,100.45,36,36.05,63.36,1152.32,1154.75,162.01,260.07,289.06,80.92,46.97,263.53,491.46,26.17,27.95,31.44,126.46,193.53,174.46,130.34,83.62,52.22,574.25,58.96,12.26,23.95,132.21,,41.94,307.63,211.88,150.79,96.9,126.27,363.62,80.88,64.43,22.17,124.4,,103.6,68.8,299.57,101.22,93.7,72.96,6.05,124.77,122.47,75.82,33.5,133.19,76.19,228.32,116.93,149.41,200.3,175.56,51.87,187.84,59.63,107.01,89.69,
2019-08-06,197,286.21,109.28,163.39,143.67,89.14,188.44,46.33,28.86,184.46,1787.83,198.34,214.89,46.59,266.44,99.68,240.17,1786.52,69.15,108.34,70.5,108.22,381.99,42.07,269.31,74.6,85.24,52.6,66.49,257.19,62.58,92.72,44.59,147.65,90.1,39.69,45.21,29.2,184.51,103.02,36.4,36.45,63.98,1169.95,1171.08,164.52,270.38,291.94,82.63,46.96,270.09,503.77,26.48,27.85,30.58,135.64,194.52,179.63,128.49,85.06,52.83,601.04,60.18,12.29,24.27,134.69,,42.62,310.1,212.67,152.35,100.27,129.93,373.56,82.27,65.53,21.96,126.45,,105.03,68.17,300.26,103.38,95.34,75.14,6.09,126.23,124.54,77.66,33.99,135.47,77.28,230.75,119,152.34,204.36,176.94,51.45,187.33,60.43,105.66,90.43,
2019-08-07,199.04,289.02,109.82,164.47,144.17,89.74,183.9,46.68,29.19,183.54,1793.4,201.89,215.7,48.1,270.05,99.19,237.58,1821.56,68.93,108.65,70.09,109.32,375.03,41.73,274.3,75.05,84.22,52.34,65.89,258.45,62.21,92.38,45.04,147.31,92.27,39.72,45.01,29.26,185.15,104.97,36.79,37.04,63.88,1173.99,1175.91,163.39,267.87,292.87,80.46,46.73,268.57,505.36,26.57,27.61,30.87,134.14,196.43,181.36,127.82,88.42,53.42,613.54,60.39,12.85,24.7,135.28,,41.75,304.29,215.87,153.89,102.37,132.39,375.84,82.25,65.26,22.13,127.78,,106.63,69.4,302.22,103.91,95.22,74.8,6.11,127.04,122.72,79.9,34.15,141.9,76.48,233.42,120.72,153.9,206.14,175.65,52.48,187.15,60.79,104.92,92.45,
2019-08-08,203.43,297.78,112.33,170.32,152.09,89.51,188.28,47.86,33.92,185.23,1832.89,211.33,220.03,49.33,270.98,99.89,238.23,1941.01,71.39,112.7,71.49,111.7,380.03,42.66,274.8,75.64,91.65,53.16,66.74,264.29,63.96,92.92,46.36,154.2,95.23,41.25,45.42,29.74,190.16,105.43,35,35.13,64.82,1204.8,1206.19,167.01,275.57,298.44,81.26,47.17,276.7,519.41,27.54,29.03,28.22,137.33,201.48,186.35,130.34,90.8,54.95,688.1,62.18,13.19,25.36,138.89,,42.63,315.9,238.02,158.26,101.48,136.17,381.59,84.41,66.5,22.81,129.47,,106.79,71.26,309.87,107.04,96.27,77.07,6.17,131.97,126.88,80.27,34.99,145.12,77.9,238.3,124.31,156.17,211.32,182.94,53.02,192.79,61.64,109.84,95.77,
2019-08-09,200.99,294.83,110.66,167.73,151.34,89.97,183.33,47.15,34.19,196.25,1807.58,208.27,215.99,48.06,275.73,97.36,235.8,1917.69,70.24,114.73,71.41,111.04,379.57,42.93,273.94,75.62,94.9,52.43,66.57,263.42,62.46,90.09,45.33,155.44,91.97,40.31,45.2,29.74,187.85,105.3,35.37,35.4,65.24,1188.01,1188.9,166.67,278.86,294,81.79,45.98,276.57,515.5,27.1,29.09,26.5,136.09,195.32,182.82,132.46,87.85,54.69,690.1,59.23,13.33,24.72,137.71,,41.52,308.93,242.9,154.18,99.88,134.2,378.31,83.55,65.21,22.6,128.6,,104.82,71.5,304.89,105.5,96.3,76.88,6.12,131,130.18,77.52,33.93,145.99,77.52,235.01,120.61,156.46,207.82,182.98,52.79,191.52,61.77,104.23,94.2,
2019-08-12,200.48,288.65,108.96,165.87,148.87,90.43,179.68,46.46,32.43,205.78,1784.92,207.04,214.45,47.08,275.64,95.08,230.96,1916.89,68.72,112.36,70.24,109.43,376.28,42.46,271.31,75.29,93.01,51.54,65.83,261.4,61.17,91,44.21,151.93,91.77,39.74,45.2,29.39,185.37,104.21,34.81,34.95,63.98,1174.71,1174.5,164.96,275.78,290.34,82.48,45.6,272.65,509.88,27.16,28.62,26.29,134.2,196.31,178.82,130.01,87.3,54.25,623.65,56.48,13.02,23.92,135.79,,42.13,310.83,235.14,151.45,98.25,130.5,370.84,82.8,64.78,22.36,128.35,,102.72,69.8,295.87,103.28,94.91,76.11,6.04,128.16,129.12,76.28,32.74,143.68,76.94,229.01,120.08,155.46,204,179.84,52,189.74,61.53,103.18,92.16,
2019-08-13,208.97,293.17,113.02,168.71,151.81,90.25,182,48.06,32.11,206.12,1824.34,213.42,219.2,48.13,283.7,97.38,233.23,1943.19,70.97,113.35,70.88,110.62,379.37,43.46,276.26,76.29,99.65,52.72,66.35,266.17,61.74,94.6,45.62,157.3,92.34,40.98,45.52,29.96,188.45,105.78,35,35.06,64.3,1197.27,1196.73,167.98,280.91,293.99,82.89,46.84,279.15,518,30.66,28.47,25.96,135.22,205.69,179.59,132.41,90.38,54.57,637.57,58.04,13.3,25.14,138.6,,44.17,312.28,260.85,156.05,102.17,133.14,373.54,83.73,66.34,23.78,129.93,,106.04,72.18,304.86,106.44,96.63,78.76,6.08,132.12,131.72,78.44,33.44,146.7,77.62,235,123.34,155.92,208.96,183.91,53.07,192.15,61.38,106.43,95.45,
2019-08-14,202.75,283.66,110.31,163.84,146.92,88.48,174.29,46.71,30.24,198.87,1762.96,205.06,208.72,45.26,271.56,94.85,226.72,1891.19,67.73,110.01,69.42,107.51,375.18,42.37,268.15,74.31,94.02,50.61,64.58,256.72,60.65,93.17,43.91,153.5,88.1,39.64,44.48,29.16,179.71,102.4,33.66,33.69,63.12,1164.29,1164.25,164.04,269.81,285.07,81.06,45.87,267.89,500.46,29.63,27.42,25.52,131.11,198.5,174.68,126.85,86.91,53.2,620,56.11,12.74,24.7,133.98,,42.04,299.11,262.13,150.07,99.99,126.87,369.43,81.06,63.34,23.56,129.12,,103.27,70.88,293.53,102.17,94.92,76.98,6,126.71,125.6,75.99,32.13,139.49,76.93,219.62,120.6,153.09,201.88,179.53,50.41,185.77,60.78,102.98,92.65,
2019-08-15,201.74,282.71,108.45,165.07,142.92,90.36,174.37,47.16,29.67,199.31,1776.12,204.12,209.86,45.51,268.64,94.35,227.63,1904.67,68.14,108.72,69.25,107.64,380.94,42.35,271.52,74.55,93.66,46.25,64.41,260.02,60.58,93.14,44.13,158.53,87.88,39.44,44.65,29.28,182.59,105.49,32.81,32.75,62.87,1167.26,1169.32,162.27,273.07,284.77,80.61,45.7,268.44,499.87,30.16,27.84,25.06,132.04,198.93,175.44,126.7,86.84,53.78,613.25,56.95,12.67,24.08,133.68,,42.24,295.76,254.72,148.77,99.77,127.36,375.43,80.09,63.7,23.87,130.72,,104.95,71.16,293.11,101.41,95.53,76.71,5.97,127.29,123.54,75.55,32.36,139.5,77.27,215.64,119.85,155.17,203.4,181.12,49.29,185.99,61.53,103.8,90.64,
2019-08-16,206.5,287.45,110.52,167.02,144.13,90.23,177.29,46.63,31.18,204.02,1792.57,209.57,212.85,46.66,273.78,96.7,231.68,1922.19,69.32,111.69,70.65,108.12,384.51,43.18,274.1,75.5,96.05,46.96,65.09,264.4,61.22,93.71,44.81,163.68,89.56,40.02,45.13,29.98,183.7,107.26,33.01,32.99,63.14,1177.6,1179.21,165.03,275.41,286.17,83.12,46.5,270.96,495.45,31.29,28.01,25.41,136.12,205.11,177.83,128.82,88.38,54.54,624.53,57.18,13.16,24.94,136.13,,43.55,302.8,258.48,159.56,103.56,128.18,381.64,81.47,64.48,25.01,131.76,,106.16,73.28,296.85,103.18,96.52,79.2,6.08,128.98,124.79,76.66,33.53,142.57,77.75,219.94,122.82,156.88,205,184.94,50.48,192.39,61.8,105.46,92.53,
2019-08-19,210.35,287.97,111.17,168.96,146.18,90.55,177.62,47.1,31.48,206,1816.12,212.99,215.69,47.92,278.78,104.22,235.72,1943.73,69.6,114.31,71.83,108.77,388.42,44,275.61,76.18,99.39,48.5,65.29,267.82,61.86,96.2,44.54,163.59,90.91,40.39,45.28,30.66,186.17,107.75,33.6,33.87,64.11,1198.45,1200.44,165.86,279.53,288.65,84.52,47.23,274.23,495.5,31.58,27.95,25.71,140.36,208.05,178.67,130.57,90.05,54.56,603.35,57.8,13.4,25.17,138.41,,45.01,309.38,262.25,170.78,103.46,125.84,385.77,82.29,64.88,25.57,132.57,,107.67,74.87,298.38,104.09,96.66,79.39,6.18,129.94,125.56,77.09,35.3,141.27,78.23,226.83,124.6,158.29,206.9,187.09,51.16,187.64,62.15,106.91,93.17,
2019-08-20,210.36,285.71,110.29,167.88,146.56,90.77,174.5,46.73,30.72,203.17,1801.38,213.18,214.69,48.8,280.37,108.72,231.28,1934.4,68.79,113.73,71.38,108.47,391.55,43.94,272.97,75.79,99.16,47.93,64.79,267.84,61.58,93.63,44.63,168.28,92.7,40.03,45.21,30.48,183.81,106.99,33.36,33.59,63.44,1182.69,1183.53,163.47,281.41,284.65,84.1,46.6,272.84,497.83,31.42,27.89,25.14,140.37,206.76,179.67,130.68,88.89,53.99,612.3,57.84,14.15,24.92,137.26,,44.23,298.99,249.11,167.87,102.87,131.74,383.24,81.95,64.38,25.96,132.06,,107.37,76.07,296.03,104.19,95.63,78.63,6.09,129.96,126.72,76.74,35.26,142.14,77.68,225.86,124.31,158.21,206.88,183.72,50.67,186.15,62.4,105.1,91.41,
2019-08-21,212.64,291.53,108.59,169.69,145.95,91.35,176.39,46.83,31.7,203.94,1823.54,218.04,217.03,49.04,287.5,107.9,233.18,1955.75,69.69,115.88,71.78,109.21,392.13,44.11,275.68,76.87,96.58,48.77,65.34,267.65,61.94,96.08,45.02,173.19,94.04,40.38,45.44,30.77,183.55,107.56,33.15,33.41,64.13,1191.25,1191.58,163.79,280.96,290.5,86.07,47.15,276.24,501.28,30.74,27.73,25.27,141.9,207.99,183.33,128.35,89.02,54.3,629.83,58.03,14.29,24.82,138.79,,44.17,297.81,253.36,171.23,103.36,137.07,384,82.52,65.04,30.11,132.34,,109.82,76.7,297.78,105.7,96.32,79.97,6.16,131.84,128.46,77.58,34.7,143.87,78.18,220.83,126.04,158.68,208.07,186.4,50.9,190.92,63,106.09,93.01,
2019-08-22,212.46,287.69,108.63,169.53,145.21,90.97,178.97,47.03,31.9,203.42,1805.6,217.1,215.26,49.08,287.62,105.45,232.06,1952.47,69.81,116.52,71.68,108.98,391.25,43.77,279.92,76.24,92.97,48.18,66.14,264.52,61.2,97.21,44.75,174.37,94.62,40,45.52,30.73,182.04,108.16,32.82,33.05,64.22,1189.53,1191.52,162.9,279.88,288.58,85.56,46.78,275.71,500.27,29.49,27.49,25.62,143.57,210.46,183.97,128.19,89.58,54.51,619.4,57.19,14.16,24.8,137.78,,44.78,296.93,247.11,171.48,103.29,133.87,382.18,82.24,64.44,30.59,132.66,,108.77,77.15,295.02,107.4,96.49,78.36,6.16,139,118.41,76.92,33.32,143.44,77.79,222.15,125.21,158.05,205.2,184.24,50.95,193.37,63.28,104.43,93.87,
2019-08-23,202.64,282.44,104.17,164.8,143.99,89.58,175.04,45.12,29.54,199.08,1749.62,210.71,210.5,47.33,272.13,101.85,225.85,1898.67,66.81,112.23,67.93,106.8,385.51,42.43,274.01,73.68,88.43,46.61,64.62,256.04,60,95.16,43.98,173.55,92.91,38.7,44.88,29.66,177.75,104.68,31.44,31.75,62.51,1151.29,1153.58,156.49,270.44,279.44,81.91,44.96,278.74,484.58,28.77,26.72,25.33,139.16,200.39,180.03,125.1,84.58,53.63,598.18,56.08,13.88,23.78,133.39,,42.96,291.44,247.23,162.44,97.99,132.46,377.34,79.72,62.53,29.49,130.27,,106.04,73.52,286.85,102.95,94.7,76.29,5.99,135.05,118.56,73.55,32.14,141.05,76.48,211.4,120.29,154.61,200.52,180.18,49.32,192.13,62.45,100.97,91.63,
2019-08-26,206.49,288.74,106.03,166.81,147.8,90.83,175.19,45.61,30.28,205.41,1768.87,211.8,213.99,48.69,277.22,103.8,223.76,1916.81,67.79,112.77,68.52,106.52,396.78,43.35,278.46,73.78,88.88,47.1,65.03,260.34,59.87,95.87,45.23,174.69,94.38,39.4,45.68,29.73,180.36,106.38,31.71,32.08,63,1168.89,1171.18,156.91,277.13,282.28,82.81,45.56,282.77,491.09,29.74,26.74,25.58,141.29,201.34,182.35,126.23,84.73,54.46,602.62,56.65,14.97,23.6,135.45,,43.43,294.98,248.93,165.45,98.71,133.44,378.65,80.45,63.19,30.61,133.74,,107.66,72.91,284.73,104.56,96.5,76.08,6.08,136.62,112.54,73.75,31.86,142.86,78.06,215,121.67,157.36,202.99,180.64,50.04,193.86,63.54,101.79,91.76,
2019-08-27,204.16,289.45,107.05,166.85,150.21,90.67,173.8,45.51,30.2,206.49,1761.83,211.04,214.07,51.09,275.57,103.84,220.79,1919.99,67.11,112.58,68.19,106.72,398.49,43.6,292.38,74.63,84.08,46.79,64.41,261.15,59.7,96.75,44.76,175,94.06,39,46.24,29.7,181.3,106.98,31.62,31.93,63.31,1167.84,1170.82,157.48,284.77,285.02,80.26,45.79,283.21,495.02,29.92,26.75,25,142.42,199.77,180.11,125.35,84.35,54.42,594.13,56.57,14.51,23.51,135.74,,42.44,291.03,256.54,161.8,98.72,135.07,376.92,80.66,63.43,30.87,134.76,,107.45,73.97,281.41,102.58,96.09,74.78,6.06,136.69,112.97,72.87,31.39,142.62,77.12,214.08,122.18,158.91,203.79,178.25,49.45,188.35,63.99,100.22,91.73,
2019-08-28,205.53,282.13,108.03,167.22,140.08,89.63,177.31,45.9,30.78,207.52,1764.25,204.14,215.75,50.21,276.06,103.59,221.07,1942,66.82,111.73,68.58,105.78,400.5,43.77,294.49,75.01,86.99,46.87,65.39,262.18,60.24,99.6,45.44,175.19,92.4,40.09,46.43,29.87,181.76,106.75,31.56,31.79,63.64,1171.02,1173.75,159.55,285.56,281.62,81.35,45.79,281.94,501.25,30.3,26.83,25.17,143.56,203.28,182.7,125.34,84.88,54.88,588.15,58.08,14.82,23.58,135.56,,43.15,291.77,250.49,161.22,100.28,133.17,383.72,81.03,63.89,30.93,135.19,,107.47,74.35,287.64,104.56,97.07,73.23,6.13,136.75,110.57,73.37,31.68,138.27,77.06,215.59,122.74,159.78,203.78,178.34,49.95,185.31,63.98,100.83,90.16,
2019-08-29,209.01,286.63,109.02,169.44,142.63,90.72,179.95,47.31,31.45,206.98,1786.4,209.18,219.74,50.96,283.37,104.83,220.16,1957.14,69.02,114.7,69,107.46,407.24,44.17,296.57,75.74,83.82,47.27,66.51,264.6,61.38,97.67,46.42,172.06,93.03,40.53,46.75,30.54,185.57,107.64,32.45,32.74,63.75,1192.85,1194.24,163.6,289.29,285.06,82.44,46.87,286.94,508.16,30.74,27.24,25.33,146.37,207.66,186.06,125.73,86.57,55.28,593.49,57.61,15.18,24.2,138.12,,44.67,296.78,253.68,167,101.56,127.18,385.44,81.86,65.38,33.61,136.02,,109.21,76.45,290.57,107.11,97.7,73.08,6.21,141.31,112.41,74.95,31.87,138.05,78.01,221.71,123.57,160.78,205.96,178.98,50.4,187.65,64.6,103.45,90.87,
2019-08-30,208.74,284.51,109.83,169.84,142.82,91.15,183.11,48.02,31.45,208.62,1776.29,206.56,222.61,50.6,282.64,104.47,219.75,1966.41,68.48,115.5,68.91,107.7,409.59,44.26,294.76,75.39,81.28,46.81,67.02,263.8,61.39,101.53,46.69,171.61,93.68,40.29,47.26,30.62,185.67,106.94,32.8,33.17,63.54,1188.1,1190.53,164.62,289.74,281.34,81.82,47.41,288.36,511.34,30.5,27.28,25.52,147.9,210.51,184.67,126.06,86.33,55.22,594.6,58.67,15.73,23.97,137.86,,45.27,293.75,255,167.51,102.14,126.5,383.76,81.7,65.56,32.77,136.73,,109.05,77.77,290.05,106.01,96.56,72.64,6.17,141.81,111.82,75.27,32.38,134.51,78.05,225.61,123.75,161.54,203.85,180.02,51.19,177.28,64.22,104.06,91.67,
2019-09-03,205.7,282.45,106.38,167.21,141.15,92.78,177.91,47.61,30.9,205.52,1789.84,206.01,220.02,51.06,274.05,102.56,217.44,1941.78,68.14,116.02,67.39,106.53,411.81,43.88,292.05,74.76,83.76,46.5,66.35,259.93,61.48,101.99,46.61,172.26,94.83,39.74,47.92,29.72,182.39,105.84,32.43,32.77,62.97,1168.39,1169.55,163.53,286.08,272.18,80.06,46.98,284.2,493.94,29.45,26.6,26.06,149.93,212.94,179.54,124.27,84.89,55.64,581,57.64,14.88,23.29,136.04,,44.99,289.29,258.43,164.17,99.17,128.19,383.86,81,64.24,33.25,137.46,,106.75,75.12,285.12,105.02,96.77,70.18,6.16,139.27,108.22,74.17,31.58,131.89,77.13,225.01,121.74,161.74,202.15,178.7,50.43,174.98,65.53,100.4,92.46,
2019-09-04,209.19,284.6,109.19,169.71,144.34,93.05,176.38,49.51,30.95,206.32,1800.62,212.49,227.27,53.5,283.02,102.54,219.29,1958.79,68.5,118.06,67.28,106.26,419.47,45.52,296.12,75.66,85.31,47.32,67.5,264.01,62.41,105,46.85,169.63,97.95,39.64,48,29.96,187.14,106.29,33.21,33.56,63.27,1181.41,1182.27,167.14,288.9,271.71,77.62,48.92,286.31,496.22,29.88,27,26.26,150.65,221.6,180.7,125.69,86.52,56.2,590,58.06,15.42,24.03,137.63,,46.81,291.52,268.38,168.76,101.85,127.94,388.61,82.39,65.46,34,139.15,,108.73,77.09,286.5,105.97,96.11,71.4,6.21,141.52,109.7,76.02,32.87,129.83,77.61,220.68,124.59,162.84,203.53,176.83,51.43,173.67,65.82,102.29,93.53,
2019-09-05,213.28,287.75,113.02,173.27,148.22,91.53,177.11,50.35,31.5,207.65,1840.72,218.09,237.09,54.58,291.02,104.12,223.96,1994.44,70.61,118.47,67.85,108,422.05,46.41,296.97,80.61,86.85,48.42,68.06,267.24,64.26,107.63,46.25,167.67,97.45,40.8,48.12,31.06,190.9,108.7,33.91,34.25,64.06,1211.38,1212.19,170.37,289.93,271.78,79.27,50.1,292.31,508.17,30.84,27.15,26.59,151,226.74,188.41,128.46,88.83,56.14,605.69,58.77,15.53,24.87,140.05,,49.03,293.25,271.06,179.74,106,124.25,396.58,83.8,68.2,34.87,135.98,,111.46,78.99,289.37,109.36,95.56,71.35,6.28,145.95,110.68,79.33,34.1,133.34,77.83,229.58,126.81,163.54,206.58,179.86,52.33,175.9,65.15,105.3,92.69,
2019-09-06,213.26,284.94,112.67,173.25,150.35,91.09,175.06,50.1,30.56,207.73,1833.51,217.59,238.56,54.58,291.91,102.59,224.57,1967.63,70,118.39,67.36,107.44,425.72,46.35,303.76,81.38,75.98,48.84,67.52,266.19,64.45,109.62,56.27,160.49,98.53,40.37,48.12,31.56,187.49,108.62,33.87,34.23,64.82,1204.93,1206.32,171.16,288.47,270,79.24,50.92,287.8,505.26,31.08,26.86,27.28,150.98,227.92,203.14,129.43,90.52,56.63,597.79,57.17,15.88,24.86,139.1,,48.97,290.17,278.81,178.65,105.81,121.25,399.73,84.07,68.34,34.98,137.37,,110.05,78.84,292,109.18,95.74,70.46,6.25,145.51,110.36,79.87,34.93,132.21,79.15,227.45,127.09,164.58,207.57,181.33,52.56,172.3,64.8,105.94,85.41,
